SkadeNr SkadeAr avvikling antallskader SkadeEstimat Regress UtbetaltBelop RBNS
1494835-1 2008 0 1 100000.00 0.00 0.00 100000.00
1494835-1 2008 3 0 -100000.00 0.00 0.00 -100000.00
1498678-2 2008 0 1 10000.00 0.00 -7626.00 2374.00
1498678-2 2008 2 0 -2374.00 0.00 0.00 -2374.00
1498782-2 2008 0 1 50000.00 0.00 0.00 50000.00
1498782-2 2008 1 0 -50000.00 0.00 0.00 -50000.00
1498842-2 2008 0 1 7000.00 0.00 -6226.00 774.00
1498842-2 2008 1 0 -774.00 0.00 0.00 -774.00
1500197-3 2009 0 0 10000.00 0.00 -2080.00 7920.00
1500197-3 2009 1 1 140000.00 0.00 -6960.00 133040.00
1500197-3 2009 2 0 250000.00 0.00 -11555.14 238444.86
1500197-3 2009 3 0 0.00 0.00 -49250.00 -49250.00
1500197-3 2009 4 0 -329589.86 0.00 -565.00 -330154.86
1502847-1 2009 0 0 25000.00 0.00 -2744.00 22256.00
1502847-1 2009 1 0 0.00 0.00 -5000.00 -5000.00
1502847-1 2009 2 0 0.00 0.00 -1170.41 -1170.41
1502847-1 2009 4 1 -16085.59 0.00 0.00 -16085.59
1504353-2 2008 1 0 20000.00 0.00 0.00 20000.00
1504353-2 2008 3 1 651875.00 0.00 -671875.00 -20000.00
1508289-3 2014 0 1 0.00 0.00 0.00 0.00
1510701-2 2010 1 1 7000.00 0.00 -7000.00 0.00
1511038-6 2010 1 1 50000.00 0.00 0.00 50000.00
1511038-6 2010 2 0 -50000.00 0.00 0.00 -50000.00
1515130-3 2011 0 0 10000.00 0.00 0.00 10000.00
1515130-3 2011 1 0 290000.00 0.00 -6714.00 283286.00
1515130-3 2011 2 0 600000.00 0.00 -8725.00 591275.00
1515130-3 2011 3 1 65000.00 0.00 -200383.00 -135383.00
1515523-1 2010 3 1 0.00 0.00 0.00 0.00
1517872-2 2011 1 1 40000.00 0.00 -5000.00 35000.00
1517872-2 2011 3 0 -5000.00 0.00 0.00 -5000.00
1521623-1 2010 0 1 85000.00 0.00 -15559.86 69440.14
1521623-1 2010 1 0 -69440.14 0.00 0.00 -69440.14
1527209-2 2011 0 0 800000.00 0.00 -26785.00 773215.00
1527209-2 2011 1 1 0.00 0.00 -25750.00 -25750.00
1527209-2 2011 2 0 1000000.00 0.00 -37334.00 962666.00
1527209-2 2011 3 0 0.00 0.00 -128454.00 -128454.00
1527431-2 2011 0 1 50000.00 0.00 -4820.00 45180.00
1527431-2 2011 1 0 -17180.00 0.00 -28000.00 -45180.00
1530205-2 2013 1 1 40000.00 0.00 0.00 40000.00
1531584-4 2011 0 1 0.00 0.00 0.00 0.00
1535938-1 2009 0 0 30000.00 0.00 0.00 30000.00
1535938-1 2009 2 1 -30000.00 0.00 0.00 -30000.00
1536800-2 2011 0 0 40001.00 0.00 0.00 40001.00
1536800-2 2011 1 1 -40001.00 0.00 0.00 -40001.00
1540308-2 2009 1 1 10000.00 0.00 0.00 10000.00
1540308-2 2009 2 0 -10000.00 0.00 0.00 -10000.00
1541612-5 2008 0 0 25000.00 0.00 0.00 25000.00
1541612-5 2008 1 1 -25000.00 0.00 0.00 -25000.00
1546393-14 2008 1 1 360.00 0.00 -360.00 0.00
1552276-6 2010 1 0 1000000.00 0.00 -12548.00 987452.00
1552276-6 2010 2 0 0.00 0.00 -15564.00 -15564.00
1552276-6 2010 3 0 55000.00 0.00 -55378.00 -378.00
1552276-6 2010 4 1 -458691.00 0.00 -512819.00 -971510.00
1561105-17 2008 0 1 0.00 0.00 0.00 0.00
1573309-7 2012 0 1 0.00 0.00 0.00 0.00
1591518-2 2010 1 1 0.00 0.00 0.00 0.00
1596094-9 2010 1 1 832.00 0.00 -832.00 0.00
1624935-2 2011 1 1 40000.00 0.00 -3949.00 36051.00
1624935-2 2011 2 0 -36051.00 0.00 0.00 -36051.00
1626339-11 2008 1 0 50000.00 0.00 0.00 50000.00
1626339-11 2008 2 1 -50000.00 0.00 0.00 -50000.00
1633874-14 2010 0 1 0.00 0.00 0.00 0.00
1635065-3 2010 1 0 500000.00 0.00 0.00 500000.00
1635065-3 2010 2 0 1250000.00 0.00 -12387.00 1237613.00
1635065-3 2010 3 1 0.00 0.00 -31950.00 -31950.00
1635065-3 2010 4 0 0.00 0.00 -65710.00 -65710.00
1637579-4 2010 0 1 0.00 0.00 0.00 0.00
1645877-4 2010 0 1 1118.00 0.00 -1118.00 0.00
1646023-2 2008 0 1 280.00 0.00 -280.00 0.00
1648985-1 2009 1 1 0.00 0.00 0.00 0.00
1653363-5 2009 1 1 50000.00 0.00 -12036.00 37964.00
1653363-5 2009 2 0 150000.00 0.00 -710.00 149290.00
1653363-5 2009 3 0 -82754.00 0.00 -104500.00 -187254.00
1656437-5 2011 1 0 1550000.00 0.00 -144735.50 1405264.50
1656437-5 2011 2 1 -10000.00 0.00 -298647.50 -308647.50
1656437-5 2011 3 0 -40000.00 0.00 -74962.50 -114962.50
1662839-3 2010 0 1 5000.00 0.00 0.00 5000.00
1662839-3 2010 1 0 60000.00 0.00 -65000.00 -5000.00
1664895-2 2009 0 1 2998.00 0.00 -2998.00 0.00
1664895-2 2009 1 0 10000.00 0.00 0.00 10000.00
1664895-2 2009 2 0 -10000.00 0.00 0.00 -10000.00
1665233-5 2010 1 1 0.00 0.00 0.00 0.00
1672541-6 2014 0 1 0.00 0.00 0.00 0.00
1672578-11 2008 1 0 86000.00 0.00 -13470.00 72530.00
1672578-11 2008 2 0 20000.00 0.00 0.00 20000.00
1672578-11 2008 3 1 -92530.00 0.00 0.00 -92530.00
1674569-6 2010 0 1 505.00 0.00 -505.00 0.00
1675369-4 2010 0 1 5000.00 0.00 0.00 5000.00
1675369-4 2010 1 0 -5000.00 0.00 0.00 -5000.00
1677639-1 2008 0 1 0.00 0.00 0.00 0.00
1686230-7 2010 0 0 150000.00 0.00 -32202.00 117798.00
1686230-7 2010 1 1 102140.00 0.00 -16921.00 85219.00
1686230-7 2010 2 0 700000.00 0.00 -103147.00 596853.00
1686230-7 2010 3 0 0.00 0.00 -126056.00 -126056.00
